Title,Director_FirstName,Director_LastName,Genre,Star_FirstName,Star_LastName,Rating,Producer_FirstName,Producer_LastName
Arsenic and Old Lace,Frank,Capra,Comedy,Cary,Grant,8.1,,Warner Bros.
Mr. Smith Goes To Washington,Frank,Capra,Drama,James,Stewart,8.3,,Columbia Pictures
Meet John Doe,Frank,Capra,Comedy,Gary,Cooper,7.7,Frank,Capra
The Caine Mutiny,Edward,Dmytryk,Drama,Humphrey,Bogart,7.9,,Columbia Pictures
The African Queen,John,Huston,Action,Humphrey,Bogart,7.9,,Romulus Films
Casablanca,Michael,Curtiz,Drama,Humphrey,Bogart,8.6,,Warner Bros.
The Comancheros,Michael,Curtiz,Action,John,Wayne,6.9,,Twentieth Century Fox
King Creole,Michael,Curtiz,Drama,Elvis,Presley,7.0,,Paramount Pictures
White Christmas,Michael,Curtiz,Comedy,Bing,Crosby,7.6,,Paramount Pictures
Pennies From Heaven,Norman Z. ,McLeod,Comedy,Bing,Crosby,6.7,,Metro-Goldwyn-Mayer
Going My Way,Leo,McCarey,Comedy,Bing,Crosby,7.3,,Paramount Pictures
Critics Choice,Don,Weis,Comedy,Bob,Hope,5.7,,Warner Bros.
The Ghost Breakers,George,Marshall,Comedy,Bob,Hope,7.3,,Paramount Pictures
Mary Scotland,John,Ford,Biography,Katharine,Hepburn,6.4,,RKO Pictures
The Philadephia Story,George,Cukor,Comedy,Cary,Grant,8.1,,Metro-Goldwyn-Mayer
My Fair Lady,George,Cukor,Musical,Audrey,Hepburn,7.9,Jack L.,Warner
Breakfast at Tiffany's,Blake,Edwards,Comedy,Audrey,Hepburn,7.8,Martin,Jurow
The Pink Panther,Blake,Edwards,Comedy,David,Niven,7.2,,Mirisch Company
The Party,Blake,Edwards,Comedy,Peter,Sellers,7.6,Blake,Edwards
Massacre Harbor,John,Peyser,Action,Christopher,George,6.0,,Mirisch-Rich Productions
The Cardinal,Otto,Preminger,Drama,Tom,Tryon,6.8,Otto,Preminger
The Longest Day,Ken,Annakin,Action,John,Wayne,7.8,Darrell F.,Zanuck
In Harm's Way,Otto,Preminger,Drama,John,Wayne,7.3,Otto,Preminger
Easter Parade,Charles,Waltera,Musical,Judy,Garland,7.5,,Metro-Goldwyn-Mayer
Babes in Arms,Busby,Berkley,Musical,Mickey,Rooney,6.6,,Metro-Goldwyn-Mayer
The Bridges at Toko-Ri,Mark,Robson,Drama,William,Holden,6.8,,Paramount Pictures
Sunset Blvd.,Billy,Wilder,Comedy,William,Holden,8.5,,Paramount Pictures
Ocean's 11,Lewis,Milestone,Comedy,Frank,Sinatra,6.6,Jerry,Weintraub
Can -Can,Walter,Lang,Comedy,Frank,Sinatra,6.4,Jack,Cummings
Saving Private Ryan,Stephen,Spielberg,Drama,Tom,Hanks,8.6,,Dreamworks SKG
Bling Ring,Sofia,Coppola,Drama,Katie,Chang,5.6,Roman,Coppola
Twixt,Francis Ford ,Coppola,Drama,Val,Kilmer,4.8,Francis Ford ,Coppola
Kill Bill Vol 1,Quentin,Tarantino,Drama,Uma,Thurman,8.1,Lawrence,Bender
Reservior Dogs,Quentin,Tarantino,Drama,Harvey,Keitel,8.3,Lawrence,Bender
Beowulf,Robert,Zemeckis,Drama,Ray,Winstone,6.2,Roger,Avary
The Polar Express,Robert,Zemeckis,Animation,Tom,Hanks,6.6,Gary,Goetzman
Contact,Robert,Zemeckis,Action,Jodie,Foster,7.4,Steven J.,Boyd
Ratatouille,Brad,Bird,Animation,Brad,Garrett,8.0,John,Lasseter
The Incredibles,Brad,Bird,Animation,Craig T.,Nelson,8.0,John,Lasseter
Monsters University,Dan,Scanlon,Animation,Billy,Crystal,7.3,Pete,Docter
